TaskID,Phase,TaskName,PlannedStart,PlannedEnd,ActualStart,ActualEnd,BudgetMaterialsUSD,BudgetLaborUSD,ActualMaterialsUSD,ActualLaborUSD,PercentComplete
101,Site Prep,Site Clearing,2024-03-01,2024-03-07,2024-03-01,2024-03-06,8000,7000,7500,6500,100
102,Site Prep,Excavation,2024-03-08,2024-03-14,2024-03-07,2024-03-13,12000,10000,11000,9500,100
103,Site Prep,Utilities Setup,2024-03-15,2024-03-21,2024-03-14,2024-03-20,15000,8000,13000,7500,100
201,Foundation,Footings,2024-03-22,2024-03-28,2024-03-21,2024-03-27,20000,12000,19000,11500,100
202,Foundation,Slab Pour,2024-03-29,2024-04-04,2024-03-28,2024-04-03,25000,11500,24000,10500,100
203,Foundation,Waterproofing,2024-04-05,2024-04-08,2024-04-04,2024-04-07,8000,5000,7500,4500,100
301,Framing,Steel Structure,2024-04-09,2024-04-25,2024-04-08,2024-04-24,45000,15000,40000,13500,100
302,Framing,Roof Framing,2024-04-26,2024-05-02,2024-04-25,2024-05-01,20000,7750,18000,7000,100
401,Interior,Electrical Rough,2024-05-03,2024-05-16,2024-05-02,2024-05-15,25000,18000,23000,16500,100
402,Interior,Plumbing Rough,2024-05-17,2024-05-30,2024-05-16,2024-05-29,22000,16000,20000,15000,100
403,Interior,HVAC Installation,2024-05-31,2024-06-13,2024-05-30,2024-06-12,35000,20000,32000,18000,100
404,Interior,Drywall & Paint,2024-06-14,2024-06-27,2024-06-13,2024-06-26,18000,15000,16000,13500,100
405,Interior,Flooring,2024-06-28,2024-07-11,2024-06-27,2024-07-10,24000,12300,22000,11500,100
501,Exterior,Facade,2024-07-12,2024-07-25,2024-07-11,2024-07-24,35000,18000,32000,16000,100
502,Exterior,Windows & Doors,2024-07-26,2024-08-01,2024-07-25,2024-07-31,28000,10000,26000,9200,100
503,Exterior,Landscaping,2024-08-02,2024-08-08,2024-08-01,2024-08-07,12000,9000,11000,8000,100